kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
5915;0515-0600;Tu;ZMB;Zambia NBC Radio 1;TNG;SAf;L;1;;
5915;0515-0800;Su;ZMB;Zambia NBC Radio 1;BEM;SAf;L;1;;
5915;0600-0800;We;ZMB;Zambia NBC Radio 1;KAO;SAf;L;1;;
5915;0600-0800;Sa;ZMB;Zambia NBC Radio 1;LU;SAf;L;1;;
5915;0600-0800;Th;ZMB;Zambia NBC Radio 1;LUV;SAf;L;1;;[0516]
5915;0600-0800;Tu;ZMB;Zambia NBC Radio 1;NY;SAf;L;1;;
5915;0600-0800;Mo,Fr;ZMB;Zambia NBC Radio 1;TNG;SAf;L;1;;
5915;0800-1000;Mo;ZMB;Zambia NBC Radio 1;BEM;SAf;L;1;;
5915;0800-1000;We,Sa;ZMB;Zambia NBC Radio 1;LOZ;SAf;L;1;;
5915;0800-1000;Tu,Fr;ZMB;Zambia NBC Radio 1;LUV;SAf;L;1;;
5915;0800-1000;Th,Su;ZMB;Zambia NBC Radio 1;TNG;SAf;L;1;;
5915;1000-1030;246;ZMB;Zambia NBC Radio 1;BEM;SAf;L;1;;
5915;1000-1030;1357;ZMB;Zambia NBC Radio 1;NY;SAf;L;1;;
5915;1030-1035;;ZMB;Zambia NBC Radio 1;KAO;SAf;L;1;;
5915;1035-1040;;ZMB;Zambia NBC Radio 1;LOZ;SAf;L;1;;
5915;1040-1045;;ZMB;Zambia NBC Radio 1;LU;SAf;L;1;;[0913]
5915;1045-1050;;ZMB;Zambia NBC Radio 1;LUV;SAf;L;1;;
5915;1050-1055;;ZMB;Zambia NBC Radio 1;TNG;SAf;L;1;;
5915;1055-1100;;ZMB;Zambia NBC Radio 1;NY;SAf;L;1;;
5915;1100-1105;;ZMB;Zambia NBC Radio 1;BEM;SAf;L;1;;
5915;1105-1200;246;ZMB;Zambia NBC Radio 1;BEM;SAf;L;1;;
5915;1105-1200;1357;ZMB;Zambia NBC Radio 1;NY;SAf;L;1;;[0516]
5915;1200-1400;Mo;ZMB;Zambia NBC Radio 1;BEM;SAf;L;1;;
5915;1200-1400;Th;ZMB;Zambia NBC Radio 1;KAO;SAf;L;1;;
5915;1200-1400;We,Su;ZMB;Zambia NBC Radio 1;LOZ;SAf;L;1;;
5915;1200-1400;Tu;ZMB;Zambia NBC Radio 1;LU;SAf;L;1;;
5915;1200-1400;Sa;ZMB;Zambia NBC Radio 1;NY;SAf;L;1;;
5915;1200-1400;Fr;ZMB;Zambia NBC Radio 1;TNG;SAf;L;1;;
5915;1400-1515;Sa;ZMB;Zambia NBC Radio 1;BEM;SAf;L;1;;
5915;1400-1515;Mo;ZMB;Zambia NBC Radio 1;KAO;SAf;L;1;;
5915;1400-1515;Tu,Fr;ZMB;Zambia NBC Radio 1;LOZ;SAf;L;1;;
5915;1400-1515;Th;ZMB;Zambia NBC Radio 1;LU;SAf;L;1;;
5915;1400-1515;We,Su;ZMB;Zambia NBC Radio 1;TNG;SAf;L;1;;
5915;1515-1520;;ZMB;Zambia NBC Radio 1;NY;SAf;L;1;;
5915;1520-1525;;ZMB;Zambia NBC Radio 1;BEM;SAf;L;1;;
5915;1525-1530;;ZMB;Zambia NBC Radio 1;LUV;SAf;L;1;;
5915;1530-1535;;ZMB;Zambia NBC Radio 1;LU;SAf;L;1;;
5915;1535-1540;;ZMB;Zambia NBC Radio 1;KAO;SAf;L;1;;
5915;1540-1545;;ZMB;Zambia NBC Radio 1;LOZ;SAf;L;1;;
5915;1545-1600;;ZMB;Zambia NBC Radio 1;TNG;SAf;L;1;;
5915;1600-1800;Fr;ZMB;Zambia NBC Radio 1;BEM;SAf;L;1;;[0614]
5915;1600-1800;Su;ZMB;Zambia NBC Radio 1;KAO;SAf;L;1;;[0614]
5915;1600-1800;Th;ZMB;Zambia NBC Radio 1;LOZ;SAf;L;1;;[0714]
5915;1600-1800;We;ZMB;Zambia NBC Radio 1;LU;SAf;L;1;;[0614]
5915;1600-1800;Sa;ZMB;Zambia NBC Radio 1;LUV;SAf;L;1;;[0616]
5915;1600-1800;Mo;ZMB;Zambia NBC Radio 1;NY;SAf;L;1;;[0316]
5915;1600-1800;Tu;ZMB;Zambia NBC Radio 1;TNG;SAf;L;1;;[0614]
5915;1800-1810;;ZMB;Zambia NBC Radio 1;E;SAf;L;1;;[0216]
5915;1810-2208;We;ZMB;Zambia NBC Radio 1;BEM;SAf;L;1;;[0716]
5915;1810-2208;Tu;ZMB;Zambia NBC Radio 1;KAO;SAf;L;1;;[0216]
5915;1810-2208;Mo;ZMB;Zambia NBC Radio 1;LOZ;SAf;L;1;;[0716]
5915;1810-2208;Fr;ZMB;Zambia NBC Radio 1;LU;SAf;L;1;;[0716]
5915;1810-2208;Su;ZMB;Zambia NBC Radio 1;LUV;SAf;L;1;;[0816]
5915;1810-2208;Th;ZMB;Zambia NBC Radio 1;NY;SAf;L;1;;[0316]
5915;1810-2208;Sa;ZMB;Zambia NBC Radio 1;TNG;SAf;L;1;;[0716]
5917;1935-1940;Sa;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;0105;3108[0714]
5920;0355-2305;Tests;EQA;HCJB Voice of Andes;D;CEu;/D-we;1;0905;
5920;1700-2400;Tests;EQA;HCJB Voice of Andes;D;CEu;/D-we;6;0805;0805
5920;0000-0100;Mo;USA;Brother Stair;E;ENA;c;0;;
5920;0000-0100;Tu-Su;USA;World Harvest Radio 2;E;ENA;c;0;;
5920;0100-0200;Mo-Sa;USA;World Harvest Radio 2;E;ENA;c;0;;
5920;0200-0300;;USA;World Harvest Radio 2;E;ENA;c;0;;
5920;0300-0400;Mo-Sa;USA;World Harvest Radio 2;E;ENA;c;0;;
5925;1000-1705;;CHN;China National Radio 5;M;CHN;B;1;;
5925;2055-2300;;CHN;China National Radio 5;M;CHN;B;1;;
5925;2300-2400;;CHN;China National Radio 5;M;CHN;B;1;;
5925;0500-0600;;G;BBC;E;SAf;/ASC;6;0108;3010
5925;1620-1720;;IRN;IRIB Voice of I.R.Iran;PS;SAs;s;0;;
5925;1500-1530;;ROU;Radio Romania DIGITAL;R;EEu;t;0;;
5925;0300-0330;;USA;Afia Darfur Radio;A;EAf;/CVA;0;;
5925;0300-0600;;VTN;Voice of Vietnam 2;VN;VTN;x;1;;
5925;1100-1500;;VTN;Voice of Vietnam 2;VN;VTN;x;1;;[0216]
5925;2145-0100;;VTN;Voice of Vietnam 2;VN;VTN;x;1;;[0416]
5930;2000-2015;;G;Bible Voice;A;ME;/D-n;0;;
5930;2200-2330;Ram;IRN;IRIB Voice of I.R.Iran;A;ME;s;6;0606;0507
5930;0000-2400;irr;S;Radio Nord Revival;SWE;Eu;s;6;2005;2205
5930;1800-1900;;USA;Radio Liberty;R;EEu;/D-b;6;2703;2506
5932;1935-1940;Sa;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;0105;3108[0814]
5934;1830-1840;Th;RUS;G06 Russian Spy Numbers;D;RUS;xx;1;0103;3004[0415]
5934;1830-1840;Th;RUS;G06 Russian Spy Numbers;D;RUS;xx;1;0109;3110[1014]
5935;0000-0030;;CHN;China National Radio 1;M;CHN;t;1;;
5935;1030-1100;;CHN;China National Radio 1;M;CHN;t;1;;
5935;2230-2300;;CHN;China National Radio 1;M;CHN;t;1;;
5935;0030-0300;;CHN;PBS Xizang;M;CHN;t;1;;
5935;0300-0600;;CHN;PBS Xizang;M;CHN;t;1;;
5935;0600-0900;We-Mo;CHN;PBS Xizang;M;CHN;t;1;;
5935;0900-1000;We-Mo;CHN;PBS Xizang;M;CHN;t;1;;
5935;1000-1030;;CHN;PBS Xizang;M;CHN;t;1;;
5935;1100-1800;;CHN;PBS Xizang;M;CHN;t;1;;
5935;2000-2100;We-Mo;CHN;PBS Xizang;M;CHN;t;1;;
5935;2100-2230;;CHN;PBS Xizang;M;CHN;t;1;;
5935;2300-2400;;CHN;PBS Xizang;M;CHN;t;1;;
5935;1300-1330;137;J;Shiokaze;J;KRE;y;6;2703;2604
5935;1300-1330;Fr,Sa;J;Shiokaze;K;KRE;y;6;2703;2604
5935;1300-1330;Tu;J;Shiokaze;M;KRE;y;6;2703;2604
5935;1300-1400;Th;J;Shiokaze;E;KRE;y;6;2703;2604
5935;1330-1400;136;J;Shiokaze;J;KRE;y;6;2703;2604
5935;1330-1400;257;J;Shiokaze;K;KRE;y;6;2703;2604
5935;1300-1330;We,Su;J;Shiokaze;J;KRE;y;6;3105;1907
5935;1300-1330;Fr,Sa;J;Shiokaze;K;KRE;y;6;3105;1907
5935;1300-1330;Mo-Tu;J;Shiokaze;M;KRE;y;6;3105;1907
5935;1300-1400;Th;J;Shiokaze;E;KRE;y;6;3105;1907
5935;1330-1400;136;J;Shiokaze;J;KRE;y;6;3105;1907
5935;1330-1400;257;J;Shiokaze;K;KRE;y;6;3105;1907
5935;1405-1435;;J;Shiokaze;J;KRE;y;6;1104;2604
5935;1405-1435;;J;Shiokaze;J;KRE;y;6;3105;1907
5935;0000-1200;;USA;Dr.Gene Scott;E;NAm;n;0;;
5940;0000-2400;;B;Rádio Voz Missionária;P;B;cb;1;;[0816]
5943;1930-1940;Fr;RUS;G06 Russian Spy Numbers;D;RUS;xx;1;0105;3108[0815]
5945;1000-1300;;CHN;China National Radio 1;M;CHN;b;4;;
5945;1300-1805;;CHN;China National Radio 1;M;CHN;b;1;;
5945;2023-2200;;CHN;China National Radio 1;M;CHN;b;1;;
5945;2200-0100;;CHN;China National Radio 1;M;CHN;b;4;;
5945;0700-0730;SaSu;G;Bible Voice;E;Eu;/D-n;0;;
5945;1920-1950;;IRN;IRIB Voice of I.R.Iran;I;Eu;s;0;;
5948;2030-2040;Th,Fr;RUS;E06 Russian Spy Numbers;E;RUS;xx;1;0105;3108[0814]
5950;0300-0530;;ETH;V.o.Tigray Revolution;TIG;EAf;a;1;;[0716]
5950;0530-0900;SaSu;ETH;V.o.Tigray Revolution;TIG;EAf;a;1;;
5950;0930-1030;Mo-Fr;ETH;V.o.Tigray Revolution;TIG;EAf;a;1;;
5950;1100-1500;SaSu;ETH;V.o.Tigray Revolution;TIG;EAf;a;1;;
5950;1500-2000;;ETH;V.o.Tigray Revolution;TIG;EAf;a;1;;[0816]
5950;0050-0220;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;s;0;;
5950;1550-1720;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;s;0;;
5950;1820-1920;;IRN;IRIB Voice of I.R.Iran;AL;Eu;s;0;;
5950;0915-0945;;J;NHK Radio Japan;K;FE;y;0;;
5950;2000-2100;;KOR;KBS World Radio;F;WAf;/F;0;;
5950;0030-0100;Tu,Fr;PNR;Antena DX;S;Car;/USA-o;0;;
5950;1130-1200;Mo,Th;PNR;Antena DX;S;Car;/USA-o;0;;
5950;0000-0030;;USA;Adventist World Radio;S;CUB;o;0;;
5950;0030-0100;137;USA;Adventist World Radio;E;Car;o;0;;
5950;1100-1130;;USA;Adventist World Radio;S;CUB;o;0;;
5950;1130-1200;367;USA;Adventist World Radio;E;Car;o;0;;
5950;0100-1100;;USA;Brother Stair;E;Car;o;0;;
5950;1200-1300;;USA;Brother Stair;E;Car;o;0;;
5950;2000-2200;;USA;Brother Stair;E;Car;o;0;;
5950;2300-2400;;USA;Family Radio;S;Car;o;0;;
5950;0030-0100;Th,Sa;USA;Frecuencia al Día;S;Car;o;0;;
5950;1130-1200;Tu,Fr;USA;Frecuencia al Día;S;Car;o;0;;
5950;2200-2300;Su;USA;WRMI Radio Miami Int.;E;Car;o;0;;
5952.4;0100-0230;Tu-Su;BOL;Emisora Pio XII;S,Q;BOL;;1;;[0816]
5952.4;0100-0500;1Jan;BOL;Emisora Pio XII;S,Q;BOL;;1;2512;0101[0116]
5952.4;0955-0100;;BOL;Emisora Pio XII;S,Q;BOL;;1;;[0816]
5955;1100-1300;;CHN;China Radio Int.;E;FE;b;0;;
5955;1300-1400;;CHN;China Radio Int.;E;FE;b;0;;
5955;1400-1500;;CHN;China Radio Int.;E;FE;b;0;;
5955;1500-1600;;CHN;China Radio Int.;E;FE;b;0;;
5960;2000-2100;;CHN;China Radio Int.;E;Eu;/ALB-c;0;;
5960;2100-2200;;CHN;China Radio Int.;E;Eu;/ALB-c;0;;
5960;0230-0300;;CHN;PBS Xinjiang;M;CHN;uc;4;;
5960;0300-1200;;CHN;PBS Xinjiang;M;CHN;uc;4;;
5960;1200-1205;;CHN;PBS Xinjiang;M;CHN;uc;1;;
5960;1205-1800;;CHN;PBS Xinjiang;M;CHN;uc;1;;
5960;2300-0300;;CHN;PBS Xinjiang;M;CHN;uc;5;;
5960;2310-0230;;CHN;PBS Xinjiang;M;CHN;uc;4;;
5960;1600-2100;;TUR;Voice of Turkey;TU;ME;e;0;;
5965;0300-1000;;B;Rádio Transmundial;P;SAm;sm;3;;[0616]
5965;1400-1500;;CHN;China Radio Int.;K;FE;x;0;;
5965;1500-1600;;CHN;China Radio Int.;R;Sib;b;0;;
5965;1300-1330;137;J;Shiokaze;J;KRE;y;6;2704;3005
5965;1300-1330;Fr,Sa;J;Shiokaze;K;KRE;y;6;2704;3005
5965;1300-1330;Tu;J;Shiokaze;M;KRE;y;6;2704;3005
5965;1300-1400;Th;J;Shiokaze;E;KRE;y;6;2704;3005
5965;1330-1400;136;J;Shiokaze;J;KRE;y;6;2704;3005
5965;1330-1400;257;J;Shiokaze;K;KRE;y;6;2704;3005
5965;1405-1435;;J;Shiokaze;J;KRE;y;6;2704;2704
5965;1300-1330;We,Su;J;Shiokaze;J;KRE;y;6;2007;3010
5965;1300-1330;Fr,Sa;J;Shiokaze;K;KRE;y;6;2007;3010
5965;1300-1330;Mo-Tu;J;Shiokaze;M;KRE;y;6;2007;3010
5965;1300-1400;Th;J;Shiokaze;E;KRE;y;6;2007;3010
5965;1330-1400;136;J;Shiokaze;J;KRE;y;6;2007;3010
5965;1330-1400;257;J;Shiokaze;K;KRE;y;6;2007;3010
5965;1800-1815;Mo-Th;SWZ;Trans World Radio;TIG;EAf;/UAE;6;2703;3105
5965;1800-1830;Su;SWZ;Trans World Radio;KUN;EAf;/UAE;6;2703;3105
5965;1800-1830;Sa;SWZ;Trans World Radio;TGR;EAf;/UAE;6;2703;3105
5965;1815-1845;Mo-Fr;SWZ;Trans World Radio;TIG;EAf;/UAE;6;2703;3105
5965;1830-1900;Su;SWZ;Trans World Radio;TIG;EAf;/UAE;6;2703;3105
5970;1300-1400;;CHN;China National Radio 11;TB;CHN;he;1;;
5970;2300-2400;;CHN;China National Radio 11;TB;CHN;he;1;;
5970;1600-1800;;CHN;China Radio Int.;D;WEu;/ALB-c;0;;
5970;1800-2000;;CHN;China Radio Int.;F;SEu;/ALB-c;0;;
5970;2200-2300;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
5970;0000-0100;;CHN;PBS Gannan;TB;CHN;he;1;;[0316]
5970;0950-1300;;CHN;PBS Gannan;TB;CHN;he;1;;
5970;2248-2300;;CHN;PBS Gannan;TB;CHN;he;1;;[0316]
5970;0000-0100;;G;BBC;E;SAs;/OMA-a;0;;
5970;2200-2300;;USA;Voice of America;M;FE;/THA-u;0;;
5975;0600-1100;;CHN;China National Radio 8;K;CHN;B;1;;
5975;1100-1500;;CHN;China National Radio 8;K;CHN;B;1;;
5975;2200-2300;;CHN;China Radio Int.;M;SAf;b;0;;
5975;0500-0530;;J;NHK Radio Japan;E;WEu;/G-w;0;;
5975;1651-1840;Su-Fr;NZL;RNZI DIGITAL;E;SOc;r;6;1605;3010
5975;1840-1850;Fr;NZL;RNZI DIGITAL;E;SOc;r;6;1605;3010
5975;1840-1850;Su-Th;NZL;RNZI DIGITAL;SM;SOc;r;6;1605;3010
5975;0400-0430;;USA;Adventist World Radio;BU;SEE;/D-n;0;;
5975;0400-0600;;VTN;Voice of Vietnam 1;VN;VTN;m;1;;
5975;1100-1500;;VTN;Voice of Vietnam 1;VN;VTN;m;1;;[0216]
5975;2145-0100;;VTN;Voice of Vietnam 1;VN;VTN;m;1;;[0616]
5980;0300-0400;Mo-Fr;AFS;Channel Africa;E;EAf;;0;;
5980;0500-0800;1.Sa;FIN;Scandinavian Weekend R.;FI;Eu;v;2;;
5980;0600-0900;25Dec;FIN;Scandinavian Weekend R.;FI;Eu;v;4;;
5980;1400-1800;1.Sa;FIN;Scandinavian Weekend R.;FI;Eu;v;2;;
5980;1500-1900;25Dec;FIN;Scandinavian Weekend R.;FI;Eu;v;4;;
5980;1000-1500;;PRU;R.Chaski Red Integridad;Q;PRU;ur;1;;[0716]
5980;2200-0103;;PRU;R.Chaski Red Integridad;S,Q;PRU;ur;1;;[0616]
5980;0700-1000;;USA;Radio Marti;S;CUB;g;0;;
5980;2100-2130;Mo-Fr;USA;Voice of America;F;Af;/BOT;0;;
5980;0200-0300;Tu-Sa;USA;WWCR 4 Mixing 5890-5935;E;NAm;n;0;;
5980;0300-1100;;USA;WWCR 4 Mixing 5890-5935;E;NAm;n;0;;
5980;1100-1200;Mo-Fr;USA;WWCR 4 Mixing 5890-5935;E;NAm;n;0;;
5985;0500-0700;;CHN;China Radio Int.;A;NAf;/ALB-c;0;;
5985;1600-1700;;CHN;China Radio Int.;SWA;EAf;b;0;;
5985;1700-1800;;CHN;China Radio Int.;SWA;EAf;b;0;;
5985;1900-2000;;CHN;China Radio Int.;P;SAf;b;0;;
5985;2000-2100;;CHN;China Radio Int.;E;SAf;b;0;;
5985;1130-1700;;CHN;VC01 Numbers Station;M;FE;;1;0106;3006[0616]
5985;2130-2145;;G;BBC;E;ATA;w;6;1406;1406
5985;2130-2200;;G;BBC;E;ATA;w;6;2106;2106
5985;0400-0430;;J;NHK Radio Japan;S;Car;/USA-o;0;;
5985;1128-1530;;MYA;Myanma Radio;BR;SEA;p;1;;[0716]
5985;1445-1500;Mo-Fr;MYA;Myanma Radio (NHK);BR;SEA;p;1;;
5985;1500-1505;Th-Fr;MYA;Myanma Radio (NHK);BR;SEA;p;1;;
5985;1530-1600;Sa-Tu;MYA;Myanma Radio;E;SEA;p;1;;[0516]
5985;1530-1600;We;MYA;Myanma Radio (VoA);E;SEA;p;1;;[0316]
5985;1540-1600;Th-Fr;MYA;Myanma Radio (NHK);E;SEA;p;1;;[0316]
5985;1600-1700;irr;MYA;Myanma Radio;BR;SEA;p;1;;[0514]
5985;2300-0130;;MYA;Myanma Radio;BR;SEA;y;1;;[0616]
5985;0430-0500;We;PNR;Antena DX;S;CAm;/USA-o;0;;
5985;0300-0400;;TWN;Radio Taiwan Int.;S;CAm;/USA-o;1;;
5985;0430-0500;Mo;USA;Blues Radio Int.;E;CAm;o;0;;
5985;0100-0300;;USA;Brother Stair;E;CAm;o;0;;
5985;0500-0700;;USA;Brother Stair;E;CAm;o;0;;
5985;2100-2300;;USA;Brother Stair;E;CAm;o;0;;
5985;0430-0500;Sa;USA;Frecuencia al Día;S;CAm;o;0;;
5985;0430-0500;247;USA;WRMI Radio Miami Int.;E;CAm;o;0;;
5985;0430-0500;Fr;USA;WRMI Radio Miami Int.;S;CAm;o;0;;
5990;0000-0100;;CHN;China Radio Int.;S;Car;/CUB;0;;
5990;1200-1300;;CHN;China Radio Int.;MO;MNG;h;0;;
5990;1300-1400;;CHN;China Radio Int.;R;Sib;h;0;;
5990;1400-1500;;CHN;China Radio Int.;MO;MNG;h;0;;
5990;1500-1600;;CHN;China Radio Int.;R;Sib;h;0;;
5990;2300-2400;;CHN;China Radio Int.;E;CAm;/CUB;0;;
5990;2250-1600;;CHN;PBS Qinghai;TB;CHN;xg;1;;[0616]
5990;0100-0200;;IND;All India Radio GOS;SD;PAK;k;1;;
5995;0500-0558;Ram;MLI;RTV du Mali;BM;WAf;;5;;[0714]
5995;0558-0800;;MLI;RTV du Mali;BM;WAf;;1;;[0716]
5995;1800-0002;;MLI;RTV du Mali;BM;WAf;;1;;[0816]
5995;1905-1915;Sa;MLI;RTV du Mali;E;WAf;;1;;
5995;0400-0445;SaSu;SWZ;Trans World Radio;CW;MWI;;1;;
5995;1200-1230;;TWN;Star-Star Bc.Station;M;CHN;;4;;
5995;1300-1330;;TWN;Star-Star Bc.Station;M;CHN;;4;;[0215]
5995;1800-2100;;USA;Radio Liberty;R;EEu;/D-L;6;2703;2506
6000;0000-2400;;B;R. Fronteira Tests 10W;P;B;cl;8;;
6000;0700-0400;;B;Rádio Guaiba;P;B;a;3;;[0216]
6000;0830-0900;We-Mo;CHN;China National Radio 1;M;CHN;b;4;;
6000;0900-1100;;CHN;China National Radio 1;M;CHN;b;4;;
6000;1100-1805;;CHN;China National Radio 1;M;CHN;b;1;;
6000;2023-2330;;CHN;China National Radio 1;M;CHN;b;1;;
6000;2330-0100;;CHN;China National Radio 1;M;CHN;b;4;;
6000;2055-2400;;CHN;CNR 2 China Business R.;M;CHN;x;4;;
6000;0000-0100;Tu-Fr;CUB;Radio Habana Cuba;S;ENA;q;4;;
6000;0100-0500;;CUB;Radio Habana Cuba;E;ENA;q;1;;
6000;0500-0600;;CUB;Radio Habana Cuba;E;ENA;q;1;;
6000;0600-0700;;CUB;Radio Habana Cuba;E;ENA;q;1;;
6000;1100-1300;;CUB;Radio Habana Cuba;S;Car;q;2;;
6000;2300-2400;Mo-Th;CUB;Radio Habana Cuba;S;ENA;q;5;;
6000;0630-0700;Su;IND;AIR Leh;LAD;SAs;le;1;;
6000;0700-0930;;IND;AIR Leh;LAD;SAs;le;1;;
6000;1800-1900;Mo,Fr;RUS;Adygeyskoye Radio;AD;Cau;a;1;;[0716]
6000;1900-2000;Su;RUS;Adygeyskoye Radio;AD;Cau;a;1;;
6000;1800-2100;;USA;Brother Stair;E;EEu;/BUL-s;6;0808;3010
6003;0555-2400;;CLA;Echo of Hope VOH;K;KRE;/KOR-o;1;;[0716]
6005;1800-2000;;ALS;Paul Walker Broadc.;E;CEu;/D-k;6;2406;2406
6005;0700-0900;Mo-Fr;BLR;Radio Belarus;D;CEu;/D-k;2;;
6005;1530-1600;;BUL;Radio Bulgaria;D;CEu;/D-k;2;;
6005;1400-1430;Su;CAN;Radio Canada Int.;E;CEu;/D-k;2;0107;
6005;1400-1445;Sa;CAN;Radio Canada Int.;F;CEu;/D-k;2;0107;
6005;1400-1445;Su;CAN;Radio Canada Int.;F;CEu;/D-k;6;0105;3006
6005;1430-1500;Sa;CAN;Radio Canada Int.;F;CEu;/D-k;6;0705;3006
6005;1430-1530;Sa;CAN;Radio Canada Int.;F;CEu;/D-k;6;2703;0605
6005;0613-0700;Mo-Fr;D;Radio 700;D;CEu;k;2;;
6005;0900-1030;Mo-Fr;D;Radio 700;D;CEu;k;2;;
6005;1000-1100;Su;D;Radio 700;D;CEu;k;2;0505;
6005;1000-1300;Su;D;Radio 700;D;CEu;k;6;2703;0605
6005;1100-1130;Su-Fr;D;Radio 700;D;CEu;k;2;0705;
6005;1100-1200;Mo-Fr;D;Radio 700;D;CEu;k;6;2703;0605
6005;1200-1300;Su;D;Radio 700;D;CEu;k;2;0705;
6005;1327-1330;SaSu;D;Radio 700;D;CEu;k;2;;
6005;1357-1430;;D;Radio 700;D;CEu;k;6;2703;3004
6005;1357-1400;;D;Radio 700;D;CEu;k;2;0105;
6005;1400-1430;Mo-Fr;D;Radio 700;D;CEu;k;2;0107;
6005;1400-1430;Mo-Sa;D;Radio 700;D;CEu;k;6;0105;3006
6005;1430-1445;Su-Fr;D;Radio 700;D;CEu;k;2;0107;
6005;1430-1500;Su-Fr;D;Radio 700;D;CEu;k;6;2703;3004
6005;1430-1500;Mo-Fr;D;Radio 700;D;CEu;k;6;0105;3006
6005;1445-1500;Mo-Sa;D;Radio 700;D;CEu;k;2;0107;
6005;1645-1700;;D;Radio 700;D;CEu;k;2;;
6005;1800-1900;Mo-Fr;D;Radio 700;D;CEu;k;2;;
6005;1900-1930;Su-Fr;D;Radio 700;D;CEu;k;2;1806;
6005;1900-2001;;D;Radio 700;D;CEu;k;6;2703;1706
6005;1930-2001;;D;Radio 700;D;CEu;k;2;1806;
6005;1000-1100;4.Su;D;Radio 700 Radiomenschen;D;CEu;k;2;2406;
6005;1700-1900;Sa;D;R.700 RocknRoll Rewind;D;CEu;k;2;;
6005;1327-1330;Mo-Fr;DNK;Nordschleswiger;D;CEu;/D-k;2;;
6005;0600-0700;Sa;E;Radio MiAmigo;D,E;CEu;/D-k;2;0107;
6005;0600-0700;Su;E;Radio MiAmigo;E;CEu;/D-k;2;;
6005;0600-0800;Sa;E;Radio MiAmigo;NL;CEu;/D-k;6;2703;3006
6005;0700-0800;SaSu;E;Radio MiAmigo;NL;CEu;/D-k;2;0107;
6005;0700-0800;Su;E;Radio MiAmigo;NL;CEu;/D-k;6;2703;3006
6005;0800-0900;Su;E;Radio MiAmigo;E;CEu;/D-k;2;;
6005;0800-1100;Sa;E;Radio MiAmigo;D;CEu;/D-k;6;2703;3006
6005;0800-1200;Su;E;Radio MiAmigo;E;CEu;/D-k;2;0107;
6005;0900-1000;Su;E;Radio MiAmigo;NL;CEu;/D-k;2;;
6005;1100-1200;Sa;E;Radio MiAmigo;NL;CEu;/D-k;6;2703;3006
6005;1200-1300;We;E;Radio MiAmigo;D;CEu;/D-k;2;;
6005;1200-1300;125;E;Radio MiAmigo;E;CEu;/D-k;2;;
6005;1200-1300;Th;E;Radio MiAmigo;NL;CEu;/D-k;2;;
6005;1700-1800;Mo-Fr;E;Radio MiAmigo;;CEu;/D-k;2;;
6005;1700-2000;21Jul;E;Radio MiAmigo;E;CEu;/D-k;6;1407;2107
6005;0500-0700;;G;BBC;E;WAf;/ASC;0;;
6005;1900-1930;Sa;G;R.Northern Ireland;E;CEu;/D-k;2;1806;
6005;1700-1800;Su;HOL;Hollands Palet;NL;CEu;/D-k;6;2703;2106
6005;1800-1900;Su;HOL;Hollands Palet;NL;CEu;/D-k;2;2206;
6005;1700-1800;Su;HOL;Radio Amathusia;NL;CEu;/D-k;2;2206;
6005;1800-1900;Su;HOL;Radio Amathusia;NL;CEu;/D-k;6;2703;2106
6005;1130-1200;Su-Fr;MNG;Voice of Mongolia;E;CEu;/D-k;2;0705;
6005;1500-1530;Su-Fr;MNG;Voice of Mongolia;E;CEu;/D-k;6;2703;0605
6005;1500-1530;;POL;Polskie Radio;D;CEu;/D-k;2;0705;
6005;0600-0613;Mo-Fr;SUI;SRF;D;CEu;/D-k;2;;
6005;1030-1100;Mo-Fr;SUI;SRF;D;CEu;/D-k;2;;
6005;1445-1500;Su;SUI;Swissinfo;E;CEu;/D-k;2;0105;
6005;1600-1645;;SUI;SRF;D;CEu;/D-k;2;;
6005;1300-1327;;SVK;Radio Slovakia Int.;D;CEu;/D-k;2;;
6005;1330-1357;;SVK;Radio Slovakia Int.;F;CEu;/D-k;2;;
6005;1800-1900;;XUU;Report of the Week;E;CEu;/D-k;6;2206;2206
6006.4;2200-1530;;VTN;VoV Spur from 6020;Vn;VTN;b;1;;[0416]
6010;0000-2400;irr;B;Rádio Inconfidência;P;B;c;1;;[0716]
6010;1030-1300;;CHN;China National Radio 11;TB;CHN;as;4;;
6010;1300-1400;;CHN;China National Radio 11;TB;CHN;as;1;;[0115]
6010;1400-1500;;CHN;China National Radio 11;AMD;CHN;as;1;;
6010;1500-1600;;CHN;China National Radio 11;KHA;CHN;as;1;;
6010;1600-1605;;CHN;China National Radio 11;TB;CHN;as;1;;
6010;2155-2400;;CHN;China National Radio 11;TB;CHN;as;1;;
6010.1;0000-2400;;CLM;La Voz de tu Conciencia;S;CLM;;1;;[0616]
6015;1600-1700;;CHN;China National Radio 17;KZ;CHN;uc;1;;
6015;0300-0345;;CHN;PBS Xinjiang;KZ;CHN;uc;4;;
6015;1150-1155;;CHN;PBS Xinjiang;KZ;CHN;uc;1;;
