"195","3C0","Annobon I.","AF","1.30N","5.36E","36","52","A","11-15-45","3C0","",""
"001","VC8","NW Ter.","NA","63.54N","119.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VC9","NB","NA","46.54N","66.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VD1","Nova Scotia","NA","44.54N","63.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VD2","Quebec","NA","52.54N","73.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VD3","Ontario","NA","51.54N","87.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VD4","Manitoba","NA","55.54N","96.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VD5","Saskatchewan","NA","54.54N","105.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VD6","Alberta","NA","53.54N","114.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VD7","British Col.","NA","54.54N","124.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VD8","NW Ter.","NA","63.54N","119.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VD9","NB","NA","46.54N","66.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VF1","Nova Scotia","NA","44.54N","63.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VF2","Quebec","NA","52.54N","73.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VF3","Ontario","NA","51.54N","87.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VF4","Manitoba","NA","55.54N","96.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VF5","Saskatchewan","NA","54.54N","105.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VF6","Alberta","NA","53.54N","114.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VF7","British Col.","NA","54.54N","124.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VF8","NW Ter.","NA","63.54N","119.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VF9","NB","NA","46.54N","66.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VB1","Nova Scotia","NA","44.54N","63.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VB2","Quebec","NA","52.54N","73.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VB3","Ontario","NA","51.54N","87.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VB4","Manitoba","NA","55.54N","96.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VB5","Saskatchewan","NA","54.54N","105.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VB6","Alberta","NA","53.54N","114.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VB7","British Col.","NA","54.54N","124.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VB8","NW Ter.","NA","63.54N","119.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VB9","NB","NA","46.54N","66.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VG1","Nova Scotia","NA","44.54N","63.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VG2","Quebec","NA","52.54N","73.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VG3","Ontario","NA","51.54N","87.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VG4","Manitoba","NA","55.54N","96.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VG5","Saskatchewan","NA","54.54N","105.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VG6","Alberta","NA","53.54N","114.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VG7","British Col.","NA","54.54N","124.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VG8","NW Ter.","NA","63.54N","119.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VG9","NB","NA","46.54N","66.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VY1","Yukon","NA","63.54N","135.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VO","Labrador","NA","52.54N","61.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VY2","PE","NA","46.54N","63.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","XN","Canada","NA","49.54N","97.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","XL","Canada","NA","49.54N","97.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VY","Canada","NA","49.54N","97.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VX","Canada","NA","49.54N","97.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"070","CM","Cuba","NA","21.30N","80.00W","8","11","A","11-15-45","CM,CO,T4,CL","",""
"070","CO","Cuba","NA","21.30N","80.00W","8","11","A","11-15-45","CM,CO,T4,CL","",""
"070","T4","Cuba","NA","21.30N","80.00W","8","11","A","11-15-45","CM,CO,T4,CL","",""
"070","CL","Cuba","NA","21.30N","80.00W","8","11","A","11-15-45","CM,CO,T4,CL","",""
"001","XO","Canada","NA","49.54N","97.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","XJ","Canada","NA","49.54N","97.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","XK","Canada","NA","49.54N","97.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","XM","Canada","NA","49.54N","97.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VE","Canada","NA","49.54N","97.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"003","YA","Afghanistan","AS","32.00N","65.00E","21","40","A","11-15-45","YA,T6","",""
"003","T6","Afghanistan","AS","32.00N","65.00E","21","40","A","11-15-45","YA,T6","",""
"004","3B6","Agalega & St. Brandon Is.","AF","10.24S","56.36E","39","53","A","11-15-45","3B6,3B7","",""
"004","3B7","Agalega & St. Brandon Is.","AF","10.24S","56.36E","39","53","A","11-15-45","3B6,3B7","",""
"005","OH0","Aland Is.","EU","60.12N","20.00E","15","18","A","11-15-45","OH0,OH0AF/OJ0","",""
"006","KL7","Alaska","NA","61.12N","150.00W","1","1","A","11-15-45","KL7,NL7,WL7,AL7,KL > 03-24-95,WL > 03-24-95,AL > 03-24-95,NL > 03-24-95","",""
"006","NL7","Alaska","NA","61.12N","150.00W","1","1","A","11-15-45","KL7,NL7,WL7,AL7,KL > 03-24-95,WL > 03-24-95,AL > 03-24-95,NL > 03-24-95","",""
"006","WL7","Alaska","NA","61.12N","150.00W","1","1","A","11-15-45","KL7,NL7,WL7,AL7,KL > 03-24-95,WL > 03-24-95,AL > 03-24-95,NL > 03-24-95","",""
"006","AL7","Alaska","NA","61.12N","150.00W","1","1","A","11-15-45","KL7,NL7,WL7,AL7,KL > 03-24-95,WL > 03-24-95,AL > 03-24-95,NL > 03-24-95","",""
"007","ZA","Albania","EU","41.30N","19.30E","15","28","A","11-15-45","ZA","",""
"008","VQ9/A","Aldabra","AF","4.00S","56.00E","39","53","D","06-28-76","VQ9/A","",""
"285","KP2","Virgin Is.","NA","18.00N","64.30W","8","11","A","11-15-45","KP2,KV4,NP2,WP2","",""
"285","KV4","Virgin Is.","NA","18.00N","64.30W","8","11","A","11-15-45","KP2,KV4,NP2,WP2","",""
"285","NP2","Virgin Is.","NA","18.00N","64.30W","8","11","A","11-15-45","KP2,KV4,NP2,WP2","",""
"285","WP2","Virgin Is.","NA","18.00N","64.30W","8","11","A","11-15-45","KP2,KV4,NP2,WP2","",""
"009","KH8","American Samoa","OC","14.00S","171.00W","32","62","A","11-15-45","KH8,AH8,NH8,WH8","",""
"009","AH8","American Samoa","OC","14.00S","171.00W","32","62","A","11-15-45","KH8,AH8,NH8,WH8","",""
"009","NH8","American Samoa","OC","14.00S","171.00W","32","62","A","11-15-45","KH8,AH8,NH8,WH8","",""
"009","WH8","American Samoa","OC","14.00S","171.00W","32","62","A","11-15-45","KH8,AH8,NH8,WH8","",""
"010","FT5Z","Amsterdam & St. Paul Is.","AF","37.00S","77.36E","39","68","A","11-15-45","FT2Z,FT4Z,FT5Z,FT8Z,FT0Z,FB8Z,FT5ZH","",""
"011","VU4","Andaman & Nicobar Is.","AS","10.00N","77.00E","26","49","A","11-15-45","VU4,VU7GV","",""
"011","VU7","Andaman & Nicobar Is.","AS","10.00N","77.00E","26","49","A","11-15-45","VU4,VU7GV","",""
"012","VP2E","Anguilla","NA","18.18N","63.00W","8","11","A","11-15-45","VP2E","",""
"013","CE9","Antarctica","AN","80.00S","120.00W","13","67","A","11-15-45","4K1,FB8Y,CE9A,ZL5,ZS8BBB,ZS8AAA,KC4AAC,KC4USV,KC4AAA,KC4USB,KC4USX,3G9A,3Y9WT,8J1RY,AT0A,IA0PS,OR4,KC4AAE,VK0JV,VK0MP,KC4AAB,KC4AAD,KC4USA,KC4USC,KC4USD,KC4USE,KC4USF,KC4USG,KC4USL,KC4USY,FT4Y,FT2Y,FT5Y,FT8Y,FT0Y,VP8ANT,R1AN > 02-01-94,VI0ANT,EM1HO > 03-01-97,EM1KA > 03-01-97,KC4AAA,CE9","",""
"013","4K1","Antarctica","AN","80.00S","120.00W","13","67","A","11-15-45","4K1,FB8Y,CE9A,ZL5,ZS8BBB,ZS8AAA,KC4AAC,KC4USV,KC4AAA,KC4USB,KC4USX,3G9A,3Y9WT,8J1RY,AT0A,IA0PS,OR4,KC4AAE,VK0JV,VK0MP,KC4AAB,KC4AAD,KC4USA,KC4USC,KC4USD,KC4USE,KC4USF,KC4USG,KC4USL,KC4USY,FT4Y,FT2Y,FT5Y,FT8Y,FT0Y,VP8ANT,R1AN > 02-01-94,VI0ANT,EM1HO > 03-01-97,EM1KA > 03-01-97,KC4AAA,CE9","",""
"013","ZL5","Antarctica","AN","80.00S","120.00W","13","67","A","11-15-45","4K1,FB8Y,CE9A,ZL5,ZS8BBB,ZS8AAA,KC4AAC,KC4USV,KC4AAA,KC4USB,KC4USX,3G9A,3Y9WT,8J1RY,AT0A,IA0PS,OR4,KC4AAE,VK0JV,VK0MP,KC4AAB,KC4AAD,KC4USA,KC4USC,KC4USD,KC4USE,KC4USF,KC4USG,KC4USL,KC4USY,FT4Y,FT2Y,FT5Y,FT8Y,FT0Y,VP8ANT,R1AN > 02-01-94,VI0ANT,EM1HO > 03-01-97,EM1KA > 03-01-97,KC4AAA,CE9","",""
"013","ZS8BBB","Antarctica","AN","80.00S","120.00W","13","67","A","11-15-45","4K1,FB8Y,CE9A,ZL5,ZS8BBB,ZS8AAA,KC4AAC,KC4USV,KC4AAA,KC4USB,KC4USX,3G9A,3Y9WT,8J1RY,AT0A,IA0PS,OR4,KC4AAE,VK0JV,VK0MP,KC4AAB,KC4AAD,KC4USA,KC4USC,KC4USD,KC4USE,KC4USF,KC4USG,KC4USL,KC4USY,FT4Y,FT2Y,FT5Y,FT8Y,FT0Y,VP8ANT,R1AN > 02-01-94,VI0ANT,EM1HO > 03-01-97,EM1KA > 03-01-97,KC4AAA,CE9","",""
"013","KC4AAC","Antarctica","AN","80.00S","120.00W","13","67","A","11-15-45","4K1,FB8Y,CE9A,ZL5,ZS8BBB,ZS8AAA,KC4AAC,KC4USV,KC4AAA,KC4USB,KC4USX,3G9A,3Y9WT,8J1RY,AT0A,IA0PS,OR4,KC4AAE,VK0JV,VK0MP,KC4AAB,KC4AAD,KC4USA,KC4USC,KC4USD,KC4USE,KC4USF,KC4USG,KC4USL,KC4USY,FT4Y,FT2Y,FT5Y,FT8Y,FT0Y,VP8ANT,R1AN > 02-01-94,VI0ANT,EM1HO > 03-01-97,EM1KA > 03-01-97,KC4AAA,CE9","",""
"013","KC4USV","Antarctica","AN","80.00S","120.00W","13","67","A","11-15-45","4K1,FB8Y,CE9A,ZL5,ZS8BBB,ZS8AAA,KC4AAC,KC4USV,KC4AAA,KC4USB,KC4USX,3G9A,3Y9WT,8J1RY,AT0A,IA0PS,OR4,KC4AAE,VK0JV,VK0MP,KC4AAB,KC4AAD,KC4USA,KC4USC,KC4USD,KC4USE,KC4USF,KC4USG,KC4USL,KC4USY,FT4Y,FT2Y,FT5Y,FT8Y,FT0Y,VP8ANT,R1AN > 02-01-94,VI0ANT,EM1HO > 03-01-97,EM1KA > 03-01-97,KC4AAA,CE9","",""
"013","KC4AAA","Antarctica","AN","80.00S","120.00W","13","67","A","11-15-45","4K1,FB8Y,CE9A,ZL5,ZS8BBB,ZS8AAA,KC4AAC,KC4USV,KC4AAA,KC4USB,KC4USX,3G9A,3Y9WT,8J1RY,AT0A,IA0PS,OR4,KC4AAE,VK0JV,VK0MP,KC4AAB,KC4AAD,KC4USA,KC4USC,KC4USD,KC4USE,KC4USF,KC4USG,KC4USL,KC4USY,FT4Y,FT2Y,FT5Y,FT8Y,FT0Y,VP8ANT,R1AN > 02-01-94,VI0ANT,EM1HO > 03-01-97,EM1KA > 03-01-97,KC4AAA,CE9","",""
"013","KC4USB","Antarctica","AN","80.00S","120.00W","13","67","A","11-15-45","4K1,FB8Y,CE9A,ZL5,ZS8BBB,ZS8AAA,KC4AAC,KC4USV,KC4AAA,KC4USB,KC4USX,3G9A,3Y9WT,8J1RY,AT0A,IA0PS,OR4,KC4AAE,VK0JV,VK0MP,KC4AAB,KC4AAD,KC4USA,KC4USC,KC4USD,KC4USE,KC4USF,KC4USG,KC4USL,KC4USY,FT4Y,FT2Y,FT5Y,FT8Y,FT0Y,VP8ANT,R1AN > 02-01-94,VI0ANT,EM1HO > 03-01-97,EM1KA > 03-01-97,KC4AAA,CE9","",""
"013","FB8Y","Antarctica","AN","80.00S","120.00W","13","67","A","11-15-45","4K1,FB8Y,CE9A,ZL5,ZS8BBB,ZS8AAA,KC4AAC,KC4USV,KC4AAA,KC4USB,KC4USX,3G9A,3Y9WT,8J1RY,AT0A,IA0PS,OR4,KC4AAE,VK0JV,VK0MP,KC4AAB,KC4AAD,KC4USA,KC4USC,KC4USD,KC4USE,KC4USF,KC4USG,KC4USL,KC4USY,FT4Y,FT2Y,FT5Y,FT8Y,FT0Y,VP8ANT,R1AN > 02-01-94,VI0ANT,EM1HO > 03-01-97,EM1KA > 03-01-97,KC4AAA,CE9","",""
"013","R1AN","Antarctica","AN","80.00S","120.00W","13","67","A","11-15-45","4K1,FB8Y,CE9A,ZL5,ZS8BBB,ZS8AAA,KC4AAC,KC4USV,KC4AAA,KC4USB,KC4USX,3G9A,3Y9WT,8J1RY,AT0A,IA0PS,OR4,KC4AAE,VK0JV,VK0MP,KC4AAB,KC4AAD,KC4USA,KC4USC,KC4USD,KC4USE,KC4USF,KC4USG,KC4USL,KC4USY,FT4Y,FT2Y,FT5Y,FT8Y,FT0Y,VP8ANT,R1AN > 02-01-94,VI0ANT,EM1HO > 03-01-97,EM1KA > 03-01-97,KC4AAA,CE9","",""
"014","EK","Armenia","AS","50.30N","44.30E","21","29","A","11-15-45","EK > 01-01-94,UG,RG,U6G,R6G,EK6G,EM6G,EN6G,EO6G,ER6G < 06-30-93,EX6G,EY6G,EZ6G,RK6G,4J4G,UK6G","",""
